# Goal Position: [0.5, 0.1, 0.5]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0.66,0.24095,0.00514783,0.30403,0.707165,4.68536e-05,0.707048,-0.000101357,0.0213535,0.00781866,0.0161538,-2.80367e-05,-3.12074e-05,-5.93902e-06,inf,0,0,0,0.0187503,-0.0543848,0.019142,0.0356757,0.0377995,-1.48062,-0.00229247,-0.0256265,0.0689105,-0.0267965,-0.0568327,-0.0529559,-0.125609,0.00663041,0,0,0,0,0,0,0
0.68,0.241377,0.00530421,0.304353,0.707165,4.66974e-05,0.707048,-0.000101117,0.0213535,0.00781866,0.0161538,-2.8019e-05,-3.13012e-05,-5.85494e-06,inf,0,0,0,0.0192649,-0.0557687,0.0196809,0.0368132,0.0388646,-1.4781,-0.00242942,-0.0257314,0.0691935,-0.0269475,-0.0568725,-0.0532559,-0.125944,0.00684738,0,0,0,0,0,0,0
0.7,0.241805,0.00546058,0.304676,0.707166,4.65407e-05,0.707048,-0.000100877,0.0213535,0.00781866,0.0161538,-2.80016e-05,-3.13952e-05,-5.77091e-06,inf,0,0,0,0.0197779,-0.0571441,0.020219,0.037954,0.0399279,-1.47559,-0.00257004,-0.025649,0.0687697,-0.0269039,-0.0570405,-0.0531624,-0.125685,0.0070311,0,0,0,0,0,0,0
0.72,0.242232,0.00561695,0.304999,0.707166,4.63836e-05,0.707048,-0.000100638,0.0213535,0.00781866,0.0161538,-2.79843e-05,-3.14895e-05,-5.68693e-06,inf,0,0,0,0.0202885,-0.0585071,0.0207555,0.0390989,0.0409878,-1.47308,-0.00271417,-0.0255311,0.0681485,-0.0268235,-0.0572441,-0.0529948,-0.12526,0.00720639,0,0,0,0,0,0,0
0.74,0.242659,0.00577333,0.305322,0.707166,4.6226e-05,0.707047,-0.0001004,0.0213535,0.00781866,0.0161538,-2.79674e-05,-3.15841e-05,-5.603e-06,inf,0,0,0,0.0207908,-0.0598293,0.0212841,0.040253,0.0420316,-1.47061,-0.0028605,-0.0251134,0.0661101,-0.0264297,-0.0577071,-0.0521928,-0.123649,0.00731666,0,0,0,0,0,0,0
0.76,0.243086,0.0059297,0.305646,0.707166,4.60679e-05,0.707047,-0.000100163,0.0213535,0.00781866,0.0161538,-2.79507e-05,-3.1679e-05,-5.51912e-06,inf,0,0,0,0.0212953,-0.0611576,0.0218159,0.0414078,0.0430818,-1.46813,-0.00301118,-0.0252249,0.0664178,-0.0265889,-0.0577397,-0.0525112,-0.124,0.00753389,0,0,0,0,0,0,0
0.78,0.243513,0.00608607,0.305969,0.707167,4.59093e-05,0.707047,-9.99262e-05,0.0213535,0.00781866,0.0161538,-2.79342e-05,-3.17742e-05,-5.43529e-06,inf,0,0,0,0.0217982,-0.062478,0.0223468,0.0425658,0.0441304,-1.46565,-0.00316545,-0.0251459,0.0660169,-0.026549,-0.057901,-0.0524275,-0.123757,0.00771349,0,0,0,0,0,0,0
0.8,0.24394,0.00624245,0.306292,0.707167,4.57503e-05,0.707047,-9.96902e-05,0.0213535,0.00781866,0.0161538,-2.7918e-05,-3.18697e-05,-5.35151e-06,inf,0,0,0,0.0222988,-0.0637863,0.0228762,0.0437278,0.0451757,-1.46319,-0.00332312,-0.0250296,0.0654152,-0.0264703,-0.0580985,-0.0522655,-0.123346,0.00788358,0,0,0,0,0,0,0
0.82,0.244367,0.00639882,0.306615,0.707167,4.55908e-05,0.707047,-9.94549e-05,0.0213535,0.00781866,0.0161538,-2.79021e-05,-3.19654e-05,-5.26778e-06,inf,0,0,0,0.0227908,-0.0650539,0.0233976,0.044899,0.0462046,-1.46075,-0.00348272,-0.0246033,0.0633807,-0.0260657,-0.0585587,-0.051444,-0.121734,0.0079801,0,0,0,0,0,0,0
0.84,0.244794,0.00655519,0.306938,0.707167,4.54308e-05,0.707046,-9.92203e-05,0.0213535,0.00781866,0.0161538,-2.78864e-05,-3.20615e-05,-5.1841e-06,inf,0,0,0,0.0232853,-0.0663281,0.0239222,0.0460707,0.0472402,-1.45831,-0.00364668,-0.0247216,0.0637097,-0.0262334,-0.058585,-0.0517815,-0.1221,0.00819797,0,0,0,0,0,0,0
0.86,0.245221,0.00671157,0.307261,0.707167,4.52703e-05,0.707046,-9.89864e-05,0.0213535,0.00781866,0.0161538,-2.78709e-05,-3.21578e-05,-5.10046e-06,inf,0,0,0,0.0237782,-0.0675947,0.0244462,0.0472454,0.0482744,-1.45587,-0.00381416,-0.0246463,0.063331,-0.0261975,-0.0587397,-0.0517079,-0.121872,0.00837378,0,0,0,0,0,0,0
0.88,0.245648,0.00686794,0.307584,0.707168,4.51093e-05,0.707046,-9.87533e-05,0.0213535,0.00781866,0.0161538,-2.78557e-05,-3.22544e-05,-5.01687e-06,inf,0,0,0,0.0242688,-0.0688497,0.0249686,0.0484241,0.0493054,-1.45344,-0.00398494,-0.0245318,0.0627486,-0.0261207,-0.0589314,-0.0515517,-0.121473,0.00853892,0,0,0,0,0,0,0
0.9,0.246075,0.00702431,0.307907,0.707168,4.49479e-05,0.707046,-9.85208e-05,0.0213535,0.00781866,0.0161538,-2.78408e-05,-3.23513e-05,-4.93333e-06,inf,0,0,0,0.024757,-0.0700919,0.0254893,0.0496067,0.050333,-1.45102,-0.00415895,-0.0244095,0.0621103,-0.0260356,-0.0591329,-0.0513792,-0.121027,0.00870052,0,0,0,0,0,0,0
0.92,0.246502,0.00718069,0.30823,0.707168,4.4786e-05,0.707045,-9.8289e-05,0.0213535,0.00781866,0.0161538,-2.78261e-05,-3.24485e-05,-4.84983e-06,inf,0,0,0,0.0252365,-0.0712935,0.0260017,0.0507985,0.0513437,-1.44864,-0.00433455,-0.0239747,0.0600793,-0.0256198,-0.0595899,-0.0505377,-0.119414,0.00878009,0,0,0,0,0,0,0
0.94,0.246929,0.00733706,0.308553,0.707168,4.46236e-05,0.707045,-9.80579e-05,0.0213535,0.00781866,0.0161538,-2.78116e-05,-3.2546e-05,-4.76637e-06,inf,0,0,0,0.0257185,-0.0725019,0.0265176,0.0519907,0.0523616,-1.44624,-0.00451452,-0.0240988,0.0604214,-0.0257953,-0.0596109,-0.0508928,-0.119787,0.0089986,0,0,0,0,0,0,0
0.96,0.247356,0.00749343,0.308876,0.707169,4.44607e-05,0.707045,-9.78276e-05,0.0213535,0.00781866,0.0161538,-2.77974e-05,-3.26438e-05,-4.68296e-06,inf,0,0,0,0.026199,-0.0737032,0.0270329,0.0531859,0.0533782,-1.44385,-0.00469792,-0.0240271,0.0600639,-0.0257635,-0.0597588,-0.0508299,-0.119573,0.00916981,0,0,0,0,0,0,0
0.98,0.247783,0.00764981,0.309199,0.707169,4.42973e-05,0.707045,-9.75979e-05,0.0213535,0.00781866,0.0161538,-2.77835e-05,-3.27418e-05,-4.59958e-06,inf,0,0,0,0.0266773,-0.0748932,0.0275466,0.0543848,0.0543918,-1.44146,-0.0048845,-0.0239148,0.059503,-0.0256888,-0.0599438,-0.0506805,-0.119189,0.00932902,0,0,0,0,0,0,0
1,0.248211,0.00780618,0.309522,0.707169,4.41334e-05,0.707044,-9.73688e-05,0.0213535,0.00781866,0.0161538,-2.77698e-05,-3.28402e-05,-4.51625e-06,inf,0,0,0,0.0271468,-0.076043,0.0280519,0.0555927,0.0553882,-1.43911,-0.00507239,-0.0234719,0.0574882,-0.0252623,-0.0603957,-0.0498195,-0.117586,0.00939483,0,0,0,0,0,0,0
1.02,0.248638,0.00796255,0.309846,0.707169,4.3969e-05,0.707044,-9.71405e-05,0.0213535,0.00781866,0.0161538,-2.77563e-05,-3.29389e-05,-4.43296e-06,inf,0,0,0,0.0276189,-0.0772001,0.0285608,0.0568009,0.0563921,-1.43675,-0.0052647,-0.0236043,0.0578574,-0.0254478,-0.0604097,-0.0501965,-0.117979,0.00961518,0,0,0,0,0,0,0
1.04,0.249065,0.00811893,0.310169,0.70717,4.38041e-05,0.707044,-9.69129e-05,0.0213535,0.00781866,0.0161538,-2.77431e-05,-3.30378e-05,-4.34971e-06,inf,0,0,0,0.0280896,-0.0783506,0.0290693,0.0580119,0.057395,-1.4344,-0.00546037,-0.0235372,0.0575241,-0.0254209,-0.060551,-0.0501452,-0.117782,0.00978343,0,0,0,0,0,0,0
1.06,0.249492,0.0082753,0.310492,0.70717,4.36388e-05,0.707044,-9.66859e-05,0.0213535,0.00781866,0.0161538,-2.77302e-05,-3.31371e-05,-4.2665e-06,inf,0,0,0,0.0285581,-0.0794903,0.0295762,0.0592265,0.0583951,-1.43205,-0.00565913,-0.0234272,0.0569831,-0.0253486,-0.0607302,-0.0500022,-0.117411,0.00993831,0,0,0,0,0,0,0
1.08,0.249919,0.00843167,0.310815,0.70717,4.34729e-05,0.707044,-9.64596e-05,0.0213535,0.00781866,0.0161538,-2.77175e-05,-3.32367e-05,-4.18333e-06,inf,0,0,0,0.0290243,-0.0806179,0.0300816,0.0604449,0.0593919,-1.42971,-0.00586091,-0.0233081,0.0563832,-0.0252666,-0.0609198,-0.0498398,-0.11699,0.010089,0,0,0,0,0,0,0
