# Goal Position: [0.5, 0.1, 0.5]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0.8,0.243935,0.00620383,0.306306,0.707064,-5.46924e-06,0.707149,-4.73872e-05,0.0213514,0.007821,0.0161508,-2.77253e-05,1.165e-05,1.66062e-05,0.286185,0.768194,0.281388,0.581083,0.0222143,-0.0636393,0.0227892,0.0437929,0.0451495,-1.46356,-0.00332664,-0.0250501,0.0653721,-0.0264863,-0.0580993,-0.052299,-0.12326,0.00786535,0,0,0,0,0,0,0
0.82,0.244362,0.00636025,0.306629,0.707064,-5.78272e-06,0.707149,-4.73086e-05,0.0213551,0.00782236,0.0161536,-2.77752e-05,1.1685e-05,1.66895e-05,0.285768,0.766913,0.280919,0.580114,0.0227068,-0.0649061,0.0233109,0.0449643,0.0461791,-1.46113,-0.00348589,-0.0246265,0.0633429,-0.0260846,-0.0585706,-0.0514831,-0.121664,0.00796288,0,0,0,0,0,0,0
0.84,0.244789,0.0065167,0.306952,0.707064,-6.09714e-06,0.707149,-4.72302e-05,0.021352,0.0078212,0.0161512,-2.78255e-05,1.17201e-05,1.67729e-05,0.285352,0.765632,0.28045,0.579145,0.0232017,-0.0661795,0.0238359,0.0461361,0.0472154,-1.45869,-0.00364949,-0.0247425,0.063668,-0.0262497,-0.0585872,-0.0518157,-0.122017,0.00817998,0,0,0,0,0,0,0
0.86,0.245216,0.00667313,0.307275,0.707064,-6.41251e-06,0.707149,-4.71521e-05,0.0213547,0.00782219,0.0161533,-2.78759e-05,1.17553e-05,1.68564e-05,0.284936,0.764351,0.279981,0.578176,0.0236951,-0.0674453,0.0243602,0.0473111,0.0482504,-1.45625,-0.00381663,-0.0246692,0.0632918,-0.0262159,-0.0587504,-0.0517462,-0.1218,0.00835664,0,0,0,0,0,0,0
0.88,0.245643,0.00682957,0.307598,0.707064,-6.72883e-06,0.70715,-4.70742e-05,0.0213524,0.00782134,0.0161515,-2.79266e-05,1.17906e-05,1.69401e-05,0.28452,0.76307,0.279511,0.577207,0.0241861,-0.0686995,0.024883,0.0484898,0.0492821,-1.45382,-0.00398705,-0.0245529,0.0627072,-0.0261372,-0.0589349,-0.0515863,-0.121391,0.00852117,0,0,0,0,0,0,0
0.9,0.246071,0.006986,0.307921,0.707064,-7.04609e-06,0.70715,-4.69965e-05,0.0213543,0.00782207,0.016153,-2.79776e-05,1.1826e-05,1.7024e-05,0.284105,0.761788,0.279042,0.576238,0.0246748,-0.0699409,0.025404,0.0496726,0.0503104,-1.4514,-0.00416072,-0.024432,0.062071,-0.0260536,-0.0591426,-0.0514167,-0.120953,0.00868342,0,0,0,0,0,0,0
0.92,0.246498,0.00714244,0.308244,0.707064,-7.36431e-06,0.70715,-4.69191e-05,0.0213527,0.00782145,0.0161517,-2.80288e-05,1.18616e-05,1.7108e-05,0.28369,0.760507,0.278573,0.575268,0.0251547,-0.0711417,0.0259168,0.0508645,0.0513219,-1.44902,-0.00433597,-0.0239958,0.0600398,-0.0256362,-0.0595941,-0.0505724,-0.119334,0.00876246,0,0,0,0,0,0,0
0.94,0.246925,0.00729887,0.308567,0.707064,-7.68349e-06,0.70715,-4.68419e-05,0.0213541,0.00782198,0.0161528,-2.80802e-05,1.18972e-05,1.71921e-05,0.283276,0.759226,0.278103,0.574299,0.0256371,-0.0723493,0.026433,0.0520569,0.0523405,-1.44662,-0.0045156,-0.0241211,0.0603826,-0.0258128,-0.0596198,-0.0509298,-0.119713,0.00898154,0,0,0,0,0,0,0
0.96,0.247352,0.00745531,0.30889,0.707064,-8.00362e-06,0.70715,-4.67649e-05,0.0213529,0.00782152,0.0161519,-2.8132e-05,1.1933e-05,1.72765e-05,0.282863,0.757945,0.277634,0.57333,0.0261181,-0.0735498,0.0269486,0.0532522,0.0533578,-1.44423,-0.00469865,-0.0240485,0.0600238,-0.02578,-0.0597639,-0.0508648,-0.119493,0.00915243,0,0,0,0,0,0,0
0.98,0.247779,0.00761174,0.309213,0.707064,-8.32472e-06,0.70715,-4.66882e-05,0.0213539,0.00782191,0.0161527,-2.81839e-05,1.19688e-05,1.73609e-05,0.282449,0.756664,0.277165,0.572361,0.0265968,-0.0747391,0.0274627,0.0544512,0.0543721,-1.44185,-0.00488489,-0.023937,0.0594638,-0.0257061,-0.0599522,-0.0507168,-0.119113,0.00931204,0,0,0,0,0,0,0
